,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
0,Đấu trường săn mồi ( Drop) ,Adventure,Soramanga,"Fantasy, Adventure, Shoujo-ai, ","59,546",4,59546,Chap 1 của Amnesia
1,Câu Chuyện Ở Yokohama,Shoujo,Yamato Waki,"Drama, Romance, Shoujo, Historical, ","59,544",4,59544,Câu chuyện ở yokohama chap 4
2,Chuyện tình của tôi!!,Action,Kawahara Kazune - Aruko,"Slice of Life, Romance, School Life, Shoujo, Action, Comedy, ","59,545",4,59545,Chapter 22
3,Lucky Star ★,Slice of Life,Yoshimizu Kagami,"Slice of Life, School Life, Shoujo, Comedy, Manga, ","59,531",4,59531,Lucky star ★ episode 0034
4,Mail,Horror,Housui Yamazaki,"Action, Mystery, Horror, ","59,528",4,59528,Mail chap 18
5,Stealth Symphony,Fantasy,"NARITA Ryohgo,AMANO Youichi","Action, Fantasy, Comedy, Adventure, ","59,527",4,59527,Stealth symphony chap 20
6,Tsuki 50-man moratte mo Ikigai no nai Tonari no Onee-san ni 30-man de Yatowarete Okaeri tte Iu,Manga,Đang cập nhật,"Romance, Slice of Life, Comedy, Manga, ","59,560",4,59560,Chapter 2: 
7,Tứ Đại Danh Bổ,Adventure,Tư Đồ Kiếm Kiều,"Action, Manhua, Adventure, ","59,534",4,59534,Chapter 371
8,Hell Kitchen [Vns],Mystery,DED,"Mystery, Shounen, Fantasy, Adventure, Action, Comedy, ","59,516",4,59516,Chapter 3
9,Death March Kara Hajimaru Isekai Kyousou Kyoku+,Xuyên Không,Ainana Hiro,"Action, Fantasy, Harem, Xuyên Không, Shounen, ","59,516",4,59516,Chapter 54
10,Nhà thảo dược khó làm hài lòng,Webtoon,Mộ Thư Rin,"Romance, Webtoon, ","59,513",4,59513,Chap 1.1
11,Thực Tập Sinh Tình Ái,Manhua,Hạ Tiểu Cát,"Drama, Comedy, Manhua, ","59,512",4,59512,Chương 1 
12,Mainichi Kiss shite ii desu ka?,School Life,Hatsuharu,"Drama, School Life, Comic, Comedy, Shoujo, ","59,510",4,59510,Chapter 2
13,The Maid Who Cant Hide Her Feelings,Romance,Sato Shouki,"Romance, Comedy, ","59,511",4,59511,Chapter 7: Meika
14,Hey Say I Love You,Manhua,Đang cập nhật,"Romance, Manhua, ","59,499",4,59499,Chapter 1
15,Guarding - Thần Hộ Mệnh,Fantasy,Đang cập nhật,"Mystery, Drama, Manhua, Romance, Fantasy, Shoujo, ","59,499",4,59499,Chapter 29
16,Tuyển tập truyện ngắn kinh dị,School Life,Kazuo Umezu,"Drama, Mystery, Horror, School Life, ","59,492",4,59492,Chapter 6
17,Liêu Trai Chí Dị,,,", ","59,483",4,59483,Liêu trai chí dị chap 1
18,Absorb; Ability,Josei,YONEYAMA Setsuko,"Comedy, Supernatural, Josei, ","59,481",4,59481,Absorb; Ability chap 2
19,Công tử ngươi ném trứng đi rồi,Manhua,Thiên Tung Thế Kỷ,"Manhua, ","59,477",4,59477,Chapter 5
20,Angel Beats! Heaven,Shounen,Maeda Jun - ASAMI Yuriko,"Action, School Life, Comedy, Supernatural, Shounen, ","59,476",4,59476,Chapter 65
21,Kimi Ni Todoke,Comedy,Shiina Karuho,"Drama, Slice of Life, Romance, School Life, Shoujo, Comedy, ","59,481",4,59481,Chapter 123.5
22,Hoàng Đế Thiên Tài,Adventure,Nguyễn Giao Cư,"Comedy, Adventure, ","59,472",4,59472,Chapter 10
23,Khu Ma Nhân,Manhua,Thái Thiên Cần,"Drama, Mystery, Horror, Manhua, Supernatural, ","59,471",4,59471,Chapter 5
24,Tổng Tài Mặt Dày Của Tôi,Drama,Đang cập nhật,"Drama, Romance, Manhua, ","59,472",4,59472,Chap 4
25,Doraemon Chế,VnComic,Nhiều tác giả,"Comedy, VnComic, ","59,473",4,59473,Doraemon chế chap 5
26,Bào Cá Hoàng Thái Tử,Mystery,,"Mystery, Comedy, Manhua, Romance, Shoujo, Supernatural, Xuyên Không, ","59,463",4,59463,Bào cá hoàng thái tử – chap 8
27,"18 Years Old, We Got Married [Cặp Đôi Kì Lạ]",Comedy,Han Yu Rang,"Romance, Truyện scan, Shoujo, Comedy, Manhwa, ","59,462",4,59462,"18 years old, we got married chap 77"
28,Hòn đảo của sự chia tay và đoàn tụ,Drama,Isle of farewell and reunion,"Drama, Yuri, ","59,464",4,59464,Ch.7 + Thông báo
29,Iinazuke Kyoutei,School Life,Fukudahda,"Drama, Harem, Slice of Life, Seinen, Romance, School Life, Comedy, ","59,455",4,59455,Iinazuke kyoutei chapter 34
30,Hội Học Sinh Kiêu Ngạo Của Hoàng Cung,Romance,Đang cập nhật,"Romance, Manhua, ","59,449",4,59449,Chapter 23
31,"Tsubasa-chan, Kimi Wa. Macchingu Shita Onna Wa Satsujinki",Manga,Fukuoka Reona,"Romance, School Life, Seinen, Manga, ","59,445",4,59445,Chapter 17
32,Moon Behind Clouds,Manga,Đang cập nhật,"Soft Yuri, One Shot, Manga, Shoujo-ai, ","59,444",4,59444,Chapter 1: One shot
33,Pyu to Fuku! Jaguar,Shounen,Usuta Kyousuke,"Slice of Life, Comedy, Shounen, ","59,439",4,59439,Pyu to fuku! jaguar pyu to fuku! jaguar chap 04
34,Uwasa no Midori-Kun,Sports,Ikeyamada Go,"Drama, Sports, Romance, School Life, Shoujo, Comedy, ","59,430",4,59430,Uwasa no midori
35,Chồng Già Vợ Trẻ Trêu Nhau Hàng Ngày,Romance,Đang cập nhật,"Drama, Romance, Shoujo, Manhua, ","59,426",4,59426,Chapter 1
36,[RABU MANGA] Twilight Hour,One Shot,Maki Minami,"Romance, Shoujo, One Shot, ","59,422",4,59422,Chapter 1: One shot
37,Himegimi to Sanbiki no Kemono,Fantasy,Miyuki Mitsubachi,"Romance, Fantasy, Shoujo, Supernatural, Adventure, Historical, Action, ","59,420",4,59420,Himegimi to sanbiki no kemono chap 4.1
38,Hybrid Boy,Shoujo Ai,Mizunomoto,"Slice of Life, One Shot, Shounen, Romance, School Life, Gender Bender, Comedy, Shoujo Ai, ","59,415",4,59415,Chapter 2
39,Angry Birds,Comic,Đang cập nhật,"Comic, ","59,414",4,59414,Chapter 2
40,Love Automation,School Life,Tamakoshi Hiroyuki,"Sci-fi, One Shot, Shounen, Romance, School Life, Comedy, ","59,412",4,59412,Love Automation OneShot
41,PHÍA SAU BỨC TƯỜNG,Fantasy,tokioznguyen,"Action, Fantasy, Horror, VnComic, Truyện scan, ","59,412",4,59412,Phía sau bức tường phía sau bức tường chapter2a
42,Fate/type Redline - Truyền Kỳ về Chén Thánh Đế Đô,Action,HIRANO Ryouji,"Action, ","59,413",4,59413,Chapter 9.2
43,Cuộc sống về đêm của người vợ 18 tuổi,Drama,Đang cập nhật,"Drama, Romance, Shoujo, Manhua, ","59,398",4,59398,Chapter 15
44,Magic Knight Rayearth,Comedy,CLAMP,"Fantasy, Romance, Mecha, Adventure, Action, Comedy, ","59,397",4,59397,Magic knight rayearth chap 3
45,[Truyện Tranh] Hoán Kiểm Trọng Sinh - Bản Tiếng Việt Mới Nhất ,Harem,Đang cập nhật,"Harem, Manhwa, ","59,394",4,59394,Chapter 11
46,Trọng sinh trở lại để trả thù(DROP),Harem,Team lạnh lùng,"Drama, Harem, Xuyên không, Manhua, ","59,398",4,59398,TRUYỆN CỦA NHÓM
47,Senpai Kara Me ga Hanasenai To Aru Kaishain no Nichijou,Comedy,Đang cập nhật,"Slice of Life, Comedy, ","59,383",4,59383,Chapter 8
